sequence,fake_file,FID
K07_A007_R01,K07_A007_R01_label_6.npy,14.661618571246263
K07_A007_R02,K07_A007_R02_label_6.npy,6.295269123838941
K07_A007_R03,K07_A007_R03_label_6.npy,6.048754916103949
K07_A007_R04,K07_A007_R04_label_6.npy,10.933552882321822
K07_A008_R01,K07_A008_R01_label_7.npy,10.141043175138943
K07_A008_R02,K07_A008_R02_label_7.npy,16.347948158047963
K07_A008_R03,K07_A008_R03_label_7.npy,11.74428538927443
K07_A008_R04,K07_A008_R04_label_7.npy,4.94431423094356
K07_A009_R01,K07_A009_R01_label_8.npy,7.158607707031365
K07_A009_R02,K07_A009_R02_label_8.npy,10.563185642569016
K07_A009_R03,K07_A009_R03_label_8.npy,21.48555009416309
K07_A009_R04,K07_A009_R04_label_8.npy,25.646320343669466
K07_A010_R01,K07_A010_R01_label_9.npy,29.132588849371206
K07_A010_R02,K07_A010_R02_label_9.npy,44.81998941403433
K07_A010_R03,K07_A010_R03_label_9.npy,94.0320589289378
K07_A010_R04,K07_A010_R04_label_9.npy,85.46737717008425
K07_A011_R01,K07_A011_R01_label_10.npy,6.756679661685288
K07_A011_R02,K07_A011_R02_label_10.npy,6.981516052774995
K07_A011_R03,K07_A011_R03_label_10.npy,13.554421065229674
K07_A011_R04,K07_A011_R04_label_10.npy,6.973470960303556
K07_A012_R01,K07_A012_R01_label_11.npy,25.291953405414276
K07_A012_R02,K07_A012_R02_label_11.npy,12.61852924469762
K07_A012_R03,K07_A012_R03_label_11.npy,16.028183400619813
K07_A012_R04,K07_A012_R04_label_11.npy,3.101116580389938
K07_A013_R01,K07_A013_R01_label_12.npy,4.914600383863561
K07_A013_R02,K07_A013_R02_label_12.npy,2.559424066477292
K07_A013_R03,K07_A013_R03_label_12.npy,1.1363757787350057
K07_A013_R04,K07_A013_R04_label_12.npy,2.632220261216729
K07_A014_R01,K07_A014_R01_label_13.npy,4.163731824661095
K07_A014_R02,K07_A014_R02_label_13.npy,10.820757424742835
K07_A014_R03,K07_A014_R03_label_13.npy,6.838150228084366
K07_A014_R04,K07_A014_R04_label_13.npy,5.980842626516338
K07_A015_R01,K07_A015_R01_label_14.npy,1.7215959290618885
K07_A015_R02,K07_A015_R02_label_14.npy,1.6214797621008796
K07_A015_R03,K07_A015_R03_label_14.npy,1.6852555805322673
